sample_id,rep_id,total,alt,tissue,individual_id,sample_id_rep,study
GTEX-117YW-0226-SM-5N9CM,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-117YW-0226-SM-5N9CM.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-117YW-0226-SM-5N9CM.1.bamcount_nonref.csv.zst,Artery_Aorta,GTEX-117YW,GTEX-117YW-0226-SM-5N9CM.1,GTEx_Blended_Tissue_Training
GTEX-117YX-1826-SM-5H12K,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-117YX-1826-SM-5H12K.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-117YX-1826-SM-5H12K.1.bamcount_nonref.csv.zst,Esophagus_Muscularis,GTEX-117YX,GTEX-117YX-1826-SM-5H12K.1,GTEx_Blended_Tissue_Training
GTEX-11DXX-1026-SM-5H11E,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11DXX-1026-SM-5H11E.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11DXX-1026-SM-5H11E.1.bamcount_nonref.csv.zst,Esophagus_Muscularis,GTEX-11DXX,GTEX-11DXX-1026-SM-5H11E.1,GTEx_Blended_Tissue_Training
GTEX-11DXZ-0126-SM-5EGGY,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11DXZ-0126-SM-5EGGY.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11DXZ-0126-SM-5EGGY.1.bamcount_nonref.csv.zst,Liver,GTEX-11DXZ,GTEX-11DXZ-0126-SM-5EGGY.1,GTEx_Blended_Tissue_Training
GTEX-11DYG-0011-R6a-SM-DO936,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11DYG-0011-R6a-SM-DO936.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11DYG-0011-R6a-SM-DO936.1.bamcount_nonref.csv.zst,Brain_Nucleus_accumbens,GTEX-11DYG,GTEX-11DYG-0011-R6a-SM-DO936.1,GTEx_Blended_Tissue_Training
GTEX-11DZ1-2426-SM-5GZZX,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11DZ1-2426-SM-5GZZX.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11DZ1-2426-SM-5GZZX.1.bamcount_nonref.csv.zst,Skin_Not_Sun_Exposed,GTEX-11DZ1,GTEX-11DZ1-2426-SM-5GZZX.1,GTEx_Blended_Tissue_Training
GTEX-11EI6-0626-SM-5985T,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11EI6-0626-SM-5985T.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11EI6-0626-SM-5985T.1.bamcount_nonref.csv.zst,Breast_Mammary_Tissue,GTEX-11EI6,GTEX-11EI6-0626-SM-5985T.1,GTEx_Blended_Tissue_Training
GTEX-11EM3-0226-SM-5985Y,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11EM3-0226-SM-5985Y.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11EM3-0226-SM-5985Y.1.bamcount_nonref.csv.zst,Artery_Aorta,GTEX-11EM3,GTEX-11EM3-0226-SM-5985Y.1,GTEx_Blended_Tissue_Training
GTEX-11EMC-0226-SM-5EGLP,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11EMC-0226-SM-5EGLP.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11EMC-0226-SM-5EGLP.1.bamcount_nonref.csv.zst,Thyroid,GTEX-11EMC,GTEX-11EMC-0226-SM-5EGLP.1,GTEx_Blended_Tissue_Training
GTEX-11EQ8-1426-SM-5EGJR,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11EQ8-1426-SM-5EGJR.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11EQ8-1426-SM-5EGJR.1.bamcount_nonref.csv.zst,Testis,GTEX-11EQ8,GTEX-11EQ8-1426-SM-5EGJR.1,GTEx_Blended_Tissue_Training
GTEX-11EQ9-1526-SM-5PNY7,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11EQ9-1526-SM-5PNY7.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11EQ9-1526-SM-5PNY7.1.bamcount_nonref.csv.zst,Colon_Sigmoid,GTEX-11EQ9,GTEX-11EQ9-1526-SM-5PNY7.1,GTEx_Blended_Tissue_Training
GTEX-11GSO-0005-SM-5O9CA,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11GSO-0005-SM-5O9CA.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11GSO-0005-SM-5O9CA.1.bamcount_nonref.csv.zst,Whole_Blood,GTEX-11GSO,GTEX-11GSO-0005-SM-5O9CA.1,GTEx_Blended_Tissue_Training
GTEX-11I78-1426-SM-5PNVY,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11I78-1426-SM-5PNVY.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11I78-1426-SM-5PNVY.1.bamcount_nonref.csv.zst,Esophagus_Muscularis,GTEX-11I78,GTEX-11I78-1426-SM-5PNVY.1,GTEx_Blended_Tissue_Training
GTEX-11NSD-2226-SM-5986V,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11NSD-2226-SM-5986V.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11NSD-2226-SM-5986V.1.bamcount_nonref.csv.zst,Skin_Sun_Exposed,GTEX-11NSD,GTEX-11NSD-2226-SM-5986V.1,GTEx_Blended_Tissue_Training
GTEX-11NUK-2026-SM-5PNVZ,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11NUK-2026-SM-5PNVZ.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11NUK-2026-SM-5PNVZ.1.bamcount_nonref.csv.zst,Adipose_Visceral,GTEX-11NUK,GTEX-11NUK-2026-SM-5PNVZ.1,GTEx_Blended_Tissue_Training
GTEX-11NV4-2026-SM-5N9DG,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11NV4-2026-SM-5N9DG.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11NV4-2026-SM-5N9DG.1.bamcount_nonref.csv.zst,Breast_Mammary_Tissue,GTEX-11NV4,GTEX-11NV4-2026-SM-5N9DG.1,GTEx_Blended_Tissue_Training
GTEX-11O72-3026-SM-5986R,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11O72-3026-SM-5986R.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11O72-3026-SM-5986R.1.bamcount_nonref.csv.zst,Pituitary,GTEX-11O72,GTEX-11O72-3026-SM-5986R.1,GTEx_Blended_Tissue_Training
GTEX-11OF3-0008-SM-5S2NH,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11OF3-0008-SM-5S2NH.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11OF3-0008-SM-5S2NH.1.bamcount_nonref.csv.zst,Cells_Cultured_fibroblasts,GTEX-11OF3,GTEX-11OF3-0008-SM-5S2NH.1,GTEx_Blended_Tissue_Training
GTEX-11ONC-0011-R6a-SM-DO12A,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11ONC-0011-R6a-SM-DO12A.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11ONC-0011-R6a-SM-DO12A.1.bamcount_nonref.csv.zst,Brain_Nucleus_accumbens,GTEX-11ONC,GTEX-11ONC-0011-R6a-SM-DO12A.1,GTEx_Blended_Tissue_Training
GTEX-11P7K-0008-SM-5S2O5,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11P7K-0008-SM-5S2O5.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11P7K-0008-SM-5S2O5.1.bamcount_nonref.csv.zst,Cells_Cultured_fibroblasts,GTEX-11P7K,GTEX-11P7K-0008-SM-5S2O5.1,GTEx_Blended_Tissue_Training
GTEX-11PRG-0726-SM-5EGL1,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11PRG-0726-SM-5EGL1.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11PRG-0726-SM-5EGL1.1.bamcount_nonref.csv.zst,Skin_Not_Sun_Exposed,GTEX-11PRG,GTEX-11PRG-0726-SM-5EGL1.1,GTEx_Blended_Tissue_Training
GTEX-11TT1-2026-SM-5EQM8,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11TT1-2026-SM-5EQM8.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11TT1-2026-SM-5EQM8.1.bamcount_nonref.csv.zst,Prostate,GTEX-11TT1,GTEX-11TT1-2026-SM-5EQM8.1,GTEx_Blended_Tissue_Training
GTEX-11TTK-0126-SM-5987B,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11TTK-0126-SM-5987B.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11TTK-0126-SM-5987B.1.bamcount_nonref.csv.zst,Skin_Sun_Exposed,GTEX-11TTK,GTEX-11TTK-0126-SM-5987B.1,GTEx_Blended_Tissue_Training
GTEX-11TUW-0626-SM-5LU9M,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11TUW-0626-SM-5LU9M.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11TUW-0626-SM-5LU9M.1.bamcount_nonref.csv.zst,Skin_Not_Sun_Exposed,GTEX-11TUW,GTEX-11TUW-0626-SM-5LU9M.1,GTEx_Blended_Tissue_Training
GTEX-11UD1-0011-R5b-SM-5P9FP,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11UD1-0011-R5b-SM-5P9FP.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11UD1-0011-R5b-SM-5P9FP.1.bamcount_nonref.csv.zst,Brain_Caudate,GTEX-11UD1,GTEX-11UD1-0011-R5b-SM-5P9FP.1,GTEx_Blended_Tissue_Training
GTEX-11UD2-0626-SM-5GU6L,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11UD2-0626-SM-5GU6L.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11UD2-0626-SM-5GU6L.1.bamcount_nonref.csv.zst,Thyroid,GTEX-11UD2,GTEX-11UD2-0626-SM-5GU6L.1,GTEx_Blended_Tissue_Training
GTEX-11VI4-0626-SM-5EQLO,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11VI4-0626-SM-5EQLO.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11VI4-0626-SM-5EQLO.1.bamcount_nonref.csv.zst,Esophagus_Muscularis,GTEX-11VI4,GTEX-11VI4-0626-SM-5EQLO.1,GTEx_Blended_Tissue_Training
GTEX-11WQC-0011-R6a-SM-5BC77,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11WQC-0011-R6a-SM-5BC77.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11WQC-0011-R6a-SM-5BC77.1.bamcount_nonref.csv.zst,Brain_Nucleus_accumbens,GTEX-11WQC,GTEX-11WQC-0011-R6a-SM-5BC77.1,GTEx_Blended_Tissue_Training
GTEX-11WQK-0008-SM-5SI6T,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11WQK-0008-SM-5SI6T.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11WQK-0008-SM-5SI6T.1.bamcount_nonref.csv.zst,Cells_Cultured_fibroblasts,GTEX-11WQK,GTEX-11WQK-0008-SM-5SI6T.1,GTEx_Blended_Tissue_Training
GTEX-11ZTS-1026-SM-5LU8O,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11ZTS-1026-SM-5LU8O.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11ZTS-1026-SM-5LU8O.1.bamcount_nonref.csv.zst,Artery_Coronary,GTEX-11ZTS,GTEX-11ZTS-1026-SM-5LU8O.1,GTEx_Blended_Tissue_Training
GTEX-11ZTT-0008-SM-5S2TZ,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11ZTT-0008-SM-5S2TZ.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11ZTT-0008-SM-5S2TZ.1.bamcount_nonref.csv.zst,Cells_Cultured_fibroblasts,GTEX-11ZTT,GTEX-11ZTT-0008-SM-5S2TZ.1,GTEx_Blended_Tissue_Training
GTEX-11ZU8-1526-SM-5EGHX,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11ZU8-1526-SM-5EGHX.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11ZU8-1526-SM-5EGHX.1.bamcount_nonref.csv.zst,Esophagus_Mucosa,GTEX-11ZU8,GTEX-11ZU8-1526-SM-5EGHX.1,GTEx_Blended_Tissue_Training
GTEX-11ZVC-2626-SM-5FQTA,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-11ZVC-2626-SM-5FQTA.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-11ZVC-2626-SM-5FQTA.1.bamcount_nonref.csv.zst,Adipose_Subcutaneous,GTEX-11ZVC,GTEX-11ZVC-2626-SM-5FQTA.1,GTEx_Blended_Tissue_Training
GTEX-12126-0826-SM-5FQTZ,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12126-0826-SM-5FQTZ.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12126-0826-SM-5FQTZ.1.bamcount_nonref.csv.zst,Skin_Not_Sun_Exposed,GTEX-12126,GTEX-12126-0826-SM-5FQTZ.1,GTEx_Blended_Tissue_Training
GTEX-1212Z-2726-SM-5EQ59,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-1212Z-2726-SM-5EQ59.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-1212Z-2726-SM-5EQ59.1.bamcount_nonref.csv.zst,Nerve_Tibial,GTEX-1212Z,GTEX-1212Z-2726-SM-5EQ59.1,GTEx_Blended_Tissue_Training
GTEX-12584-1426-SM-5EGJ9,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12584-1426-SM-5EGJ9.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12584-1426-SM-5EGJ9.1.bamcount_nonref.csv.zst,Lung,GTEX-12584,GTEX-12584-1426-SM-5EGJ9.1,GTEx_Blended_Tissue_Training
GTEX-12696-0626-SM-5EGGD,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12696-0626-SM-5EGGD.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12696-0626-SM-5EGGD.1.bamcount_nonref.csv.zst,Adrenal_Gland,GTEX-12696,GTEX-12696-0626-SM-5EGGD.1,GTEx_Blended_Tissue_Training
GTEX-12C56-1826-SM-5EQ6D,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12C56-1826-SM-5EQ6D.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12C56-1826-SM-5EQ6D.1.bamcount_nonref.csv.zst,Nerve_Tibial,GTEX-12C56,GTEX-12C56-1826-SM-5EQ6D.1,GTEx_Blended_Tissue_Training
GTEX-12KS4-0126-SM-5Q5A5,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12KS4-0126-SM-5Q5A5.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12KS4-0126-SM-5Q5A5.1.bamcount_nonref.csv.zst,Breast_Mammary_Tissue,GTEX-12KS4,GTEX-12KS4-0126-SM-5Q5A5.1,GTEx_Blended_Tissue_Training
GTEX-12WSA-0008-SM-5TDC3,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12WSA-0008-SM-5TDC3.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12WSA-0008-SM-5TDC3.1.bamcount_nonref.csv.zst,Cells_Cultured_fibroblasts,GTEX-12WSA,GTEX-12WSA-0008-SM-5TDC3.1,GTEx_Blended_Tissue_Training
GTEX-12WSD-3126-SM-5HL7P,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12WSD-3126-SM-5HL7P.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12WSD-3126-SM-5HL7P.1.bamcount_nonref.csv.zst,Brain_Cortex,GTEX-12WSD,GTEX-12WSD-3126-SM-5HL7P.1,GTEx_Blended_Tissue_Training
GTEX-12WSE-0826-SM-5S2VL,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12WSE-0826-SM-5S2VL.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12WSE-0826-SM-5S2VL.1.bamcount_nonref.csv.zst,Lung,GTEX-12WSE,GTEX-12WSE-0826-SM-5S2VL.1,GTEx_Blended_Tissue_Training
GTEX-12WSH-3026-SM-5CVNI,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12WSH-3026-SM-5CVNI.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12WSH-3026-SM-5CVNI.1.bamcount_nonref.csv.zst,Brain_Cortex,GTEX-12WSH,GTEX-12WSH-3026-SM-5CVNI.1,GTEx_Blended_Tissue_Training
GTEX-12WSI-2126-SM-5GCMV,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12WSI-2126-SM-5GCMV.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12WSI-2126-SM-5GCMV.1.bamcount_nonref.csv.zst,Testis,GTEX-12WSI,GTEX-12WSI-2126-SM-5GCMV.1,GTEx_Blended_Tissue_Training
GTEX-12WSJ-0226-SM-5GCP7,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12WSJ-0226-SM-5GCP7.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12WSJ-0226-SM-5GCP7.1.bamcount_nonref.csv.zst,Lung,GTEX-12WSJ,GTEX-12WSJ-0226-SM-5GCP7.1,GTEx_Blended_Tissue_Training
GTEX-12WSK-2326-SM-5GCOH,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12WSK-2326-SM-5GCOH.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12WSK-2326-SM-5GCOH.1.bamcount_nonref.csv.zst,Skin_Sun_Exposed,GTEX-12WSK,GTEX-12WSK-2326-SM-5GCOH.1,GTEx_Blended_Tissue_Training
GTEX-12WSL-2526-SM-5GCNJ,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12WSL-2526-SM-5GCNJ.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12WSL-2526-SM-5GCNJ.1.bamcount_nonref.csv.zst,Skin_Sun_Exposed,GTEX-12WSL,GTEX-12WSL-2526-SM-5GCNJ.1,GTEx_Blended_Tissue_Training
GTEX-12WSM-0326-SM-5LZVI,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12WSM-0326-SM-5LZVI.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12WSM-0326-SM-5LZVI.1.bamcount_nonref.csv.zst,Muscle_Skeletal,GTEX-12WSM,GTEX-12WSM-0326-SM-5LZVI.1,GTEx_Blended_Tissue_Training
GTEX-12WSN-0326-SM-5GCP6,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12WSN-0326-SM-5GCP6.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12WSN-0326-SM-5GCP6.1.bamcount_nonref.csv.zst,Artery_Aorta,GTEX-12WSN,GTEX-12WSN-0326-SM-5GCP6.1,GTEx_Blended_Tissue_Training
GTEX-12ZZW-2326-SM-5DUW2,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12ZZW-2326-SM-5DUW2.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12ZZW-2326-SM-5DUW2.1.bamcount_nonref.csv.zst,Adipose_Visceral,GTEX-12ZZW,GTEX-12ZZW-2326-SM-5DUW2.1,GTEx_Blended_Tissue_Training
GTEX-12ZZX-0726-SM-5EGKA,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-12ZZX-0726-SM-5EGKA.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-12ZZX-0726-SM-5EGKA.1.bamcount_nonref.csv.zst,Heart_Atrial_Appendage,GTEX-12ZZX,GTEX-12ZZX-0726-SM-5EGKA.1,GTEx_Blended_Tissue_Training
